epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,57.0023,1.35963,0.91789,1.28781,0.95453,0.92,0.98004,0.48478,1.66694,0.90032,1.45279,0.00177824,0.00177824,0.00177824
58,57.9741,1.3747,0.90142,1.24114,0.88262,0.96,0.8754,0.4177,1.64367,0.87469,1.45893,0.00177428,0.00177428,0.00177428
59,58.9431,1.41186,0.89911,1.32378,0.8851,0.92,0.91678,0.43858,1.77846,0.88988,1.47759,0.00177032,0.00177032,0.00177032
60,59.9075,1.424,0.88134,1.28284,0.81689,0.96,0.86222,0.37836,1.8511,0.98235,1.55589,0.00176636,0.00176636,0.00176636
61,60.864,1.38409,0.82384,1.26691,0.82047,0.91417,0.78715,0.31746,2.00006,1.1166,1.69631,0.0017624,0.0017624,0.0017624
62,61.8326,1.30372,0.89763,1.30535,0.75773,0.75091,0.64118,0.2491,2.1575,1.43311,1.72642,0.00175844,0.00175844,0.00175844
63,62.7976,1.46671,0.91455,1.27667,0.83655,0.84,0.78252,0.38345,1.74203,1.08637,1.49977,0.00175448,0.00175448,0.00175448
64,63.7635,1.39859,0.88264,1.21284,0.78808,0.8,0.69221,0.3473,1.82119,1.27504,1.60565,0.00175052,0.00175052,0.00175052
65,64.7128,1.31656,0.83419,1.19188,0.85591,0.7131,0.68282,0.342,1.82345,1.37476,1.61445,0.00174656,0.00174656,0.00174656
66,65.6799,1.42233,0.91499,1.3061,0.92995,0.84,0.91277,0.42234,1.67311,1.22543,1.4852,0.0017426,0.0017426,0.0017426
67,66.6454,1.48211,0.88081,1.2549,0.86704,0.92,0.93181,0.38815,1.81564,1.07721,1.52023,0.00173864,0.00173864,0.00173864
68,67.6076,1.24836,0.81785,1.20143,0.87646,0.96,0.9407,0.48232,1.64596,0.96792,1.49592,0.00173468,0.00173468,0.00173468
69,68.5646,1.3423,0.83039,1.20069,0.88068,0.96,0.89733,0.43503,1.71246,0.94067,1.54357,0.00173072,0.00173072,0.00173072
70,69.5309,1.32855,0.85273,1.25677,0.88408,0.96,0.85333,0.38646,1.7358,0.90194,1.54829,0.00172676,0.00172676,0.00172676
71,70.4956,1.26507,0.80608,1.17656,0.88777,0.94956,0.89914,0.46915,1.72503,0.79489,1.46964,0.0017228,0.0017228,0.0017228
72,71.4587,1.30546,0.8488,1.21734,0.89196,0.88,0.89753,0.5395,1.64929,0.75382,1.48855,0.00171884,0.00171884,0.00171884
73,72.4229,1.34837,0.84334,1.21487,0.95173,0.92,0.93371,0.50953,1.74206,0.77869,1.51093,0.00171488,0.00171488,0.00171488
74,73.3809,1.34404,0.86848,1.25553,0.94796,0.92,0.9402,0.53809,1.7386,0.74998,1.5486,0.00171092,0.00171092,0.00171092
75,74.35,1.2112,0.82491,1.1829,0.95018,0.92,0.94189,0.50168,1.72276,0.7789,1.56184,0.00170696,0.00170696,0.00170696
76,75.3136,1.30659,0.80092,1.20705,0.87438,0.92,0.91649,0.46928,1.71464,0.77932,1.55152,0.001703,0.001703,0.001703
77,76.2639,1.24548,0.76544,1.2272,0.8793,0.87438,0.84278,0.39216,1.93032,0.83149,1.644,0.00169904,0.00169904,0.00169904
78,77.2282,1.3326,0.80991,1.26304,0.95347,0.92,0.95142,0.43275,1.84103,0.80994,1.58352,0.00169508,0.00169508,0.00169508
79,78.1917,1.27526,0.85388,1.16746,0.96463,0.92,0.97007,0.40178,1.88379,0.84949,1.57808,0.00169112,0.00169112,0.00169112
80,79.1544,1.23492,0.78326,1.14708,0.87538,0.84307,0.84947,0.35684,1.94034,0.91257,1.61241,0.00168716,0.00168716,0.00168716
81,80.1083,1.24613,0.7725,1.16872,0.95082,0.92,0.95271,0.47225,1.64423,0.80141,1.45879,0.0016832,0.0016832,0.0016832
82,81.0747,1.24485,0.72912,1.15462,0.91694,0.88333,0.91971,0.46147,1.67801,0.931,1.50903,0.00167924,0.00167924,0.00167924
83,82.039,1.21894,0.77225,1.16506,0.81865,0.84,0.82608,0.42706,1.80983,1.06949,1.57182,0.00167528,0.00167528,0.00167528
84,83.0008,1.21281,0.7987,1.15992,0.91711,0.96,0.98308,0.48166,1.7845,0.98717,1.51802,0.00167132,0.00167132,0.00167132
85,83.9598,1.23417,0.7609,1.18871,0.84493,0.96,0.92303,0.45437,1.67224,0.83093,1.50584,0.00166736,0.00166736,0.00166736
86,84.9242,1.18497,0.74926,1.13546,0.81689,0.89253,0.88896,0.40665,1.83232,0.86295,1.63143,0.0016634,0.0016634,0.0016634
