epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,208.747,1.35831,0.65863,0.99074,0.93645,0.98333,0.97837,0.56153,1.55314,0.69046,1.11449,0.00175844,0.00175844,0.00175844
63,212.33,1.36637,0.6471,0.99409,0.93026,0.975,0.97646,0.57222,1.52235,0.68426,1.1142,0.00175448,0.00175448,0.00175448
64,215.922,1.33358,0.63807,0.98499,0.94487,0.93333,0.96976,0.52764,1.52144,0.71469,1.11588,0.00175052,0.00175052,0.00175052
65,219.476,1.35664,0.65485,0.99213,0.90754,0.95833,0.97297,0.54835,1.49419,0.82445,1.08154,0.00174656,0.00174656,0.00174656
66,223.043,1.31373,0.65984,0.98311,0.9463,0.93333,0.95989,0.53023,1.53118,0.87218,1.12998,0.0017426,0.0017426,0.0017426
67,226.611,1.31028,0.64799,0.98741,0.95591,0.96667,0.97558,0.56569,1.46234,0.73515,1.0448,0.00173864,0.00173864,0.00173864
68,230.223,1.32207,0.66132,0.98386,0.91868,0.94144,0.95365,0.5631,1.55579,0.78066,1.08847,0.00173468,0.00173468,0.00173468
69,234.143,1.34837,0.65961,1.00376,0.95539,0.95833,0.97708,0.55386,1.49722,0.70512,1.0787,0.00173072,0.00173072,0.00173072
70,237.765,1.33168,0.62851,0.99439,0.94151,0.975,0.97998,0.56978,1.47825,0.69466,1.05051,0.00172676,0.00172676,0.00172676
71,241.375,1.32509,0.63997,0.98677,0.95652,0.94167,0.98121,0.56581,1.47186,0.70982,1.06285,0.0017228,0.0017228,0.0017228
72,244.995,1.35792,0.64287,0.9879,0.94353,0.97462,0.97014,0.52942,1.52748,0.73627,1.07772,0.00171884,0.00171884,0.00171884
73,248.599,1.36069,0.66689,0.99092,0.95144,0.98333,0.97747,0.55709,1.40707,0.69439,1.04086,0.00171488,0.00171488,0.00171488
74,252.222,1.30403,0.64218,0.97494,0.92085,0.975,0.97481,0.56534,1.48727,0.71401,1.05391,0.00171092,0.00171092,0.00171092
75,255.85,1.34631,0.65081,0.971,0.93385,0.94111,0.97584,0.58408,1.47693,0.73368,1.04892,0.00170696,0.00170696,0.00170696
76,259.488,1.29924,0.63685,0.9875,0.9512,0.97449,0.98071,0.56475,1.4401,0.65377,1.06576,0.001703,0.001703,0.001703
77,263.086,1.30187,0.63131,0.98486,0.93428,0.99167,0.9784,0.56482,1.44671,0.67853,1.05198,0.00169904,0.00169904,0.00169904
78,266.693,1.29832,0.61155,0.97116,0.92162,0.97993,0.98085,0.57194,1.43348,0.66241,1.07918,0.00169508,0.00169508,0.00169508
79,270.525,1.36832,0.63262,1.00635,0.92615,0.95,0.96383,0.51875,1.58239,0.74456,1.10394,0.00169112,0.00169112,0.00169112
80,274.149,1.35262,0.63081,0.98504,0.94837,0.96667,0.9754,0.55689,1.5128,0.69177,1.05749,0.00168716,0.00168716,0.00168716
81,277.749,1.3187,0.62028,0.98638,0.92767,0.98333,0.97428,0.56524,1.59004,0.68291,1.13915,0.0016832,0.0016832,0.0016832
82,281.387,1.27421,0.61759,0.97246,0.94393,0.98212,0.97835,0.54889,1.58084,0.69831,1.10306,0.00167924,0.00167924,0.00167924
83,284.987,1.26904,0.61681,0.97168,0.9504,0.95803,0.96239,0.54392,1.48643,0.71032,1.05106,0.00167528,0.00167528,0.00167528
84,288.601,1.29608,0.61722,0.98046,0.91824,0.95,0.96891,0.52752,1.60457,0.77246,1.1057,0.00167132,0.00167132,0.00167132
85,292.229,1.28328,0.62898,0.99714,0.92278,0.94167,0.95985,0.56863,1.51876,0.747,1.10122,0.00166736,0.00166736,0.00166736
86,295.865,1.32828,0.62545,0.99175,0.93528,0.93333,0.95179,0.56503,1.44771,0.70086,1.07086,0.0016634,0.0016634,0.0016634
